targetname,datetime_jd,datetime_str,M1,x,k1,y,z,vx,vy,vz,lighttime,range,range_rate
ATLAS (C/2025 N1),2461131.5,A.D. 2026-Apr-01 00:00:00.0000,12.5,-3.308653738375778,4.5,5.722668151579936,-0.2062152063565733,-0.00859938217949083,0.02049571625717998,-0.002325172869158569,0.03819650523316517,6.613519868036082,0.02210956488910148
ATLAS (C/2025 N1),2461138.5,A.D. 2026-Apr-08 00:00:00.0000,12.5,-3.365182590148307,4.5,5.864697687649485,-0.2225907278041517,-0.007547848445142656,0.02009851920515994,-0.002353553708967511,0.03907285608330999,6.765255314078167,0.02125500071255642
ATLAS (C/2025 N1),2461145.5,A.D. 2026-Apr-15 00:00:00.0000,12.5,-3.414278557985754,4.5,6.004249324155605,-0.2391639333149969,-0.00647698649168012,0.01978783792935963,-0.00238151816784151,0.03991610573868585,6.911259465910899,0.02047310227071589
ATLAS (C/2025 N1),2461152.5,A.D. 2026-Apr-22 00:00:00.0000,12.5,-3.455832917411682,4.5,6.141930075263015,-0.2559296406627402,-0.005394341203423892,0.01956399034881324,-0.002408486161340781,0.0407293165214593,7.052062548180939,0.01976996157639721
ATLAS (C/2025 N1),2461159.5,A.D. 2026-Apr-29 00:00:00.0000,12.5,-3.489789041351733,4.5,6.278347270924388,-0.2728796343499177,-0.004307280231302362,0.01942672686997518,-0.00243412622653492,0.04151578819035637,7.18823589640082,0.01915121629771766
ATLAS (C/2025 N1),2461166.5,A.D. 2026-May-06 00:00:00.0000,12.5,-3.516141435786442,4.5,6.414104203569671,-0.2900037529291496,-0.003223039132532636,0.01937513397587737,-0.002458201545078395,0.04227903707418579,7.32038834403049,0.01862191880942388
ATLAS (C/2025 N1),2461173.5,A.D. 2026-May-13 00:00:00.0000,12.5,-3.534934614639707,4.5,6.549795356824257,-0.3072903670014573,-0.002148656526921128,0.01940760871246158,-0.002480525651343784,0.04302276967421884,7.449161651871066,0.01818640455569358
ATLAS (C/2025 N1),2461180.5,A.D. 2026-May-20 00:00:00.0000,12.5,-3.546261421641933,4.5,6.686001630477222,-0.3247266715778497,-0.001090887790995356,0.01952187896087311,-0.002500947732161773,0.04375085141796892,7.575225097949497,0.01784818411803715
ATLAS (C/2025 N1),2461187.5,A.D. 2026-May-27 00:00:00.0000,12.5,-3.55026075096769,4.5,6.823285809543699,-0.3422989132263827,-5.612174312216449e-05,0.01971505072783351,-0.002519347022448882,0.04446727151741498,7.699269392908526,0.01760985822372281
ATLAS (C/2025 N1),2461194.5,A.D. 2026-Jun-03 00:00:00.0000,12.5,-3.54711472193849,4.5,6.962188428450466,-0.3599925900710562,0.0009496912388132777,0.0199836724607352,-0.002535630112101269,0.04517610484213472,7.822000078544387,0.01747305498193446
ATLAS (C/2025 N1),2461201.5,A.D. 2026-Jun-10 00:00:00.0000,12.5,-3.537045399460257,4.5,7.103224125825371,-0.3777926369553428,0.00192109683126301,0.02032381003490899,-0.002549729208249425,0.04588147169905997,7.944130563887294,0.01743838911844863
ATLAS (C/2025 N1),2461208.5,A.D. 2026-Jun-17 00:00:00.0000,12.5,-3.520311165141439,4.5,7.246878547355316,-0.3956835991915155,0.002853178899127481,0.02073112764703631,-0.00256160054731326,0.04658749641209584,8.066374953484827,0.01750544337593632
ATLAS (C/2025 N1),2461215.5,A.D. 2026-Jun-24 00:00:00.0000,12.5,-3.497202847021401,4.5,7.393605824759421,-0.4136497951375843,0.003741586406304831,0.02120097097684525,-0.002571222761313711,0.04729826559912267,8.189440823288756,0.01767277214206693
