targetname,datetime_str,datetime_jd,M1,solar_presence,k1,interfering_body,RA,DEC,Tmag,Nmag,r,r_rate,delta,delta_rate,elong,elongFlag,hour_angle
ATLAS (C/2025 N1),2025-Apr-01 00:00,2460766.5,12.5,,4.5,,282.38725,-19.76139,20.859,,7.584486165176,-58.7034543,7.58448616517576,-58.7034543,0.0,/*,
ATLAS (C/2025 N1),2025-Apr-02 00:00,2460767.5,12.5,,4.5,,282.33035,-19.76249,20.841,,7.550576167632,-58.7009369,7.55057616763223,-58.7009369,0.0,/*,
ATLAS (C/2025 N1),2025-Apr-03 00:00,2460768.5,12.5,,4.5,,282.27292,-19.76358,20.822,,7.516667645991,-58.6983451,7.5166676459909,-58.6983451,0.0,/*,
ATLAS (C/2025 N1),2025-Apr-04 00:00,2460769.5,12.5,,4.5,,282.21498,-19.76467,20.804,,7.48276064378,-58.695677,7.48276064378021,-58.695677,0.0,/*,
ATLAS (C/2025 N1),2025-Apr-05 00:00,2460770.5,12.5,,4.5,,282.15651,-19.76574,20.785,,7.448855205537,-58.692931,7.44885520553654,-58.692931,0.0,/*,
ATLAS (C/2025 N1),2025-Apr-06 00:00,2460771.5,12.5,,4.5,,282.0975,-19.76681,20.766,,7.41495137683,-58.6901052,7.41495137683009,-58.6901052,0.0,/*,
ATLAS (C/2025 N1),2025-Apr-07 00:00,2460772.5,12.5,,4.5,,282.03795,-19.76787,20.747,,7.381049204291,-58.6871978,7.3810492042914,-58.6871978,0.0,/*,
ATLAS (C/2025 N1),2025-Apr-08 00:00,2460773.5,12.5,,4.5,,281.97785,-19.76891,20.728,,7.347148735639,-58.6842068,7.34714873563855,-58.6842068,0.0,/*,
ATLAS (C/2025 N1),2025-Apr-09 00:00,2460774.5,12.5,,4.5,,281.91719,-19.76995,20.709,,7.313250019706,-58.6811303,7.31325001970553,-58.6811303,0.0,/*,
ATLAS (C/2025 N1),2025-Apr-10 00:00,2460775.5,12.5,,4.5,,281.85597,-19.77097,20.69,,7.279353106471,-58.6779663,7.27935310647115,-58.6779663,0.0,/*,
ATLAS (C/2025 N1),2025-Apr-11 00:00,2460776.5,12.5,,4.5,,281.79417,-19.77198,20.671,,7.245458047089,-58.6747127,7.24545804708882,-58.6747127,0.0,/*,
ATLAS (C/2025 N1),2025-Apr-12 00:00,2460777.5,12.5,,4.5,,281.73179,-19.77299,20.651,,7.211564893917,-58.6713674,7.21156489391743,-58.6713674,0.0,/*,
ATLAS (C/2025 N1),2025-Apr-13 00:00,2460778.5,12.5,,4.5,,281.66882,-19.77397,20.632,,7.177673700553,-58.6679283,7.17767370055288,-58.6679283,0.0,/*,
ATLAS (C/2025 N1),2025-Apr-14 00:00,2460779.5,12.5,,4.5,,281.60525,-19.77495,20.612,,7.143784521861,-58.6643931,7.14378452186095,-58.6643931,0.0,/*,
ATLAS (C/2025 N1),2025-Apr-15 00:00,2460780.5,12.5,,4.5,,281.54108,-19.77591,20.593,,7.109897414011,-58.6607596,7.10989741401082,-58.6607596,0.0,/*,
ATLAS (C/2025 N1),2025-Apr-16 00:00,2460781.5,12.5,,4.5,,281.47628,-19.77686,20.573,,7.07601243451,-58.6570253,7.0760124345096,-58.6570253,0.0,/*,
ATLAS (C/2025 N1),2025-Apr-17 00:00,2460782.5,12.5,,4.5,,281.41087,-19.77779,20.553,,7.042129642238,-58.653188,7.04212964223828,-58.653188,0.0,/*,
ATLAS (C/2025 N1),2025-Apr-18 00:00,2460783.5,12.5,,4.5,,281.34482,-19.77871,20.533,,7.008249097488,-58.649245,7.00824909748848,-58.649245,0.0,/*,
ATLAS (C/2025 N1),2025-Apr-19 00:00,2460784.5,12.5,,4.5,,281.27813,-19.77961,20.513,,6.974370862,-58.6451939,6.97437086200037,-58.6451939,0.0,/*,
ATLAS (C/2025 N1),2025-Apr-20 00:00,2460785.5,12.5,,4.5,,281.21079,-19.7805,20.493,,6.940494999002,-58.641032,6.94049499900176,-58.641032,0.0,/*,
ATLAS (C/2025 N1),2025-Apr-21 00:00,2460786.5,12.5,,4.5,,281.14279,-19.78137,20.473,,6.906621573249,-58.6367567,6.90662157324856,-58.6367567,0.0,/*,
ATLAS (C/2025 N1),2025-Apr-22 00:00,2460787.5,12.5,,4.5,,281.07411,-19.78222,20.453,,6.872750651066,-58.6323653,6.87275065106631,-58.6323653,0.0,/*,
ATLAS (C/2025 N1),2025-Apr-23 00:00,2460788.5,12.5,,4.5,,281.00476,-19.78305,20.432,,6.838882300393,-58.6278548,6.83888230039319,-58.6278548,0.0,/*,
ATLAS (C/2025 N1),2025-Apr-24 00:00,2460789.5,12.5,,4.5,,280.93471,-19.78387,20.412,,6.805016590824,-58.6232224,6.80501659082411,-58.6232224,0.0,/*,
ATLAS (C/2025 N1),2025-Apr-25 00:00,2460790.5,12.5,,4.5,,280.86396,-19.78466,20.391,,6.771153593656,-58.6184652,6.77115359365648,-58.6184652,0.0,/*,
ATLAS (C/2025 N1),2025-Apr-26 00:00,2460791.5,12.5,,4.5,,280.7925,-19.78544,20.371,,6.737293381937,-58.6135799,6.73729338193734,-58.6135799,0.0,/*,
ATLAS (C/2025 N1),2025-Apr-27 00:00,2460792.5,12.5,,4.5,,280.72032,-19.78619,20.35,,6.703436030512,-58.6085635,6.70343603051198,-58.6085635,0.0,/*,
ATLAS (C/2025 N1),2025-Apr-28 00:00,2460793.5,12.5,,4.5,,280.64741,-19.78693,20.329,,6.669581616074,-58.6034128,6.66958161607394,-58.6034128,0.0,/*,
ATLAS (C/2025 N1),2025-Apr-29 00:00,2460794.5,12.5,,4.5,,280.57375,-19.78764,20.308,,6.635730217217,-58.5981244,6.63573021721704,-58.5981244,0.0,/*,
ATLAS (C/2025 N1),2025-Apr-30 00:00,2460795.5,12.5,,4.5,,280.49933,-19.78832,20.287,,6.601881914489,-58.5926948,6.60188191448862,-58.5926948,0.0,/*,
ATLAS (C/2025 N1),2025-May-01 00:00,2460796.5,12.5,,4.5,,280.42415,-19.78898,20.266,,6.568036790445,-58.5871205,6.56803679044485,-58.5871205,0.0,/*,
ATLAS (C/2025 N1),2025-May-02 00:00,2460797.5,12.5,,4.5,,280.34818,-19.78962,20.244,,6.534194929708,-58.581398,6.53419492970764,-58.581398,0.0,/*,
ATLAS (C/2025 N1),2025-May-03 00:00,2460798.5,12.5,,4.5,,280.27143,-19.79023,20.223,,6.500356419024,-58.5755235,6.5003564190235,-58.5755235,0.0,/*,
ATLAS (C/2025 N1),2025-May-04 00:00,2460799.5,12.5,,4.5,,280.19387,-19.79082,20.201,,6.466521347325,-58.5694931,6.46652134732451,-58.5694931,0.0,/*,
ATLAS (C/2025 N1),2025-May-05 00:00,2460800.5,12.5,,4.5,,280.11549,-19.79137,20.18,,6.432689805791,-58.5633029,6.43268980579079,-58.5633029,0.0,/*,
ATLAS (C/2025 N1),2025-May-06 00:00,2460801.5,12.5,,4.5,,280.03629,-19.7919,20.158,,6.398861887916,-58.5569489,6.39886188791563,-58.5569489,0.0,/*,
ATLAS (C/2025 N1),2025-May-07 00:00,2460802.5,12.5,,4.5,,279.95624,-19.7924,20.136,,6.365037689572,-58.5504268,6.36503768957247,-58.5504268,0.0,/*,
ATLAS (C/2025 N1),2025-May-08 00:00,2460803.5,12.5,,4.5,,279.87534,-19.79287,20.114,,6.331217309084,-58.5437324,6.33121730908414,-58.5437324,0.0,/*,
ATLAS (C/2025 N1),2025-May-09 00:00,2460804.5,12.5,,4.5,,279.79357,-19.7933,20.092,,6.297400847295,-58.5368612,6.29740084729463,-58.5368612,0.0,/*,
ATLAS (C/2025 N1),2025-May-10 00:00,2460805.5,12.5,,4.5,,279.71091,-19.7937,20.07,,6.263588407643,-58.5298088,6.26358840764302,-58.5298088,0.0,/*,
ATLAS (C/2025 N1),2025-May-11 00:00,2460806.5,12.5,,4.5,,279.62736,-19.79407,20.047,,6.22978009624,-58.5225702,6.22978009624003,-58.5225702,0.0,/*,
ATLAS (C/2025 N1),2025-May-12 00:00,2460807.5,12.5,,4.5,,279.54289,-19.7944,20.025,,6.195976021947,-58.5151409,6.19597602194738,-58.5151409,0.0,/*,
ATLAS (C/2025 N1),2025-May-13 00:00,2460808.5,12.5,,4.5,,279.4575,-19.7947,20.002,,6.162176296459,-58.5075157,6.16217629645943,-58.5075157,0.0,/*,
ATLAS (C/2025 N1),2025-May-14 00:00,2460809.5,12.5,,4.5,,279.37117,-19.79496,19.98,,6.128381034388,-58.4996896,6.12838103438807,-58.4996896,0.0,/*,
ATLAS (C/2025 N1),2025-May-15 00:00,2460810.5,12.5,,4.5,,279.28388,-19.79518,19.957,,6.09459035335,-58.4916573,6.09459035335024,-58.4916573,0.0,/*,
ATLAS (C/2025 N1),2025-May-16 00:00,2460811.5,12.5,,4.5,,279.19561,-19.79535,19.934,,6.060804374059,-58.4834133,6.06080437405874,-58.4834133,0.0,/*,
ATLAS (C/2025 N1),2025-May-17 00:00,2460812.5,12.5,,4.5,,279.10636,-19.79549,19.911,,6.027023220416,-58.4749521,6.02702322041571,-58.4749521,0.0,/*,
ATLAS (C/2025 N1),2025-May-18 00:00,2460813.5,12.5,,4.5,,279.01609,-19.79558,19.888,,5.99324701961,-58.4662678,5.99324701960998,-58.4662678,0.0,/*,
ATLAS (C/2025 N1),2025-May-19 00:00,2460814.5,12.5,,4.5,,278.92481,-19.79563,19.864,,5.959475902217,-58.4573545,5.95947590221717,-58.4573545,0.0,/*,
ATLAS (C/2025 N1),2025-May-20 00:00,2460815.5,12.5,,4.5,,278.83249,-19.79563,19.841,,5.925710002304,-58.4482061,5.92571000230372,-58.4482061,0.0,/*,
ATLAS (C/2025 N1),2025-May-21 00:00,2460816.5,12.5,,4.5,,278.7391,-19.79558,19.817,,5.891949457534,-58.4388162,5.89194945753425,-58.4388162,0.0,/*,
ATLAS (C/2025 N1),2025-May-22 00:00,2460817.5,12.5,,4.5,,278.64464,-19.79548,19.794,,5.858194409283,-58.4291784,5.85819440928269,-58.4291784,0.0,/*,
ATLAS (C/2025 N1),2025-May-23 00:00,2460818.5,12.5,,4.5,,278.54909,-19.79533,19.77,,5.824445002747,-58.4192859,5.82444500274715,-58.4192859,0.0,/*,
ATLAS (C/2025 N1),2025-May-24 00:00,2460819.5,12.5,,4.5,,278.45242,-19.79513,19.746,,5.790701387069,-58.4091318,5.79070138706884,-58.4091318,0.0,/*,
ATLAS (C/2025 N1),2025-May-25 00:00,2460820.5,12.5,,4.5,,278.35462,-19.79487,19.722,,5.756963715455,-58.3987089,5.75696371545518,-58.3987089,0.0,/*,
ATLAS (C/2025 N1),2025-May-26 00:00,2460821.5,12.5,,4.5,,278.25567,-19.79456,19.698,,5.723232145307,-58.3880099,5.72323214530682,-58.3880099,0.0,/*,
ATLAS (C/2025 N1),2025-May-27 00:00,2460822.5,12.5,,4.5,,278.15554,-19.79419,19.673,,5.689506838349,-58.3770272,5.68950683834944,-58.3770272,0.0,/*,
ATLAS (C/2025 N1),2025-May-28 00:00,2460823.5,12.5,,4.5,,278.05422,-19.79375,19.649,,5.65578796077,-58.3657529,5.65578796077012,-58.3657529,0.0,/*,
ATLAS (C/2025 N1),2025-May-29 00:00,2460824.5,12.5,,4.5,,277.95169,-19.79325,19.624,,5.622075683359,-58.3541789,5.62207568335853,-58.3541789,0.0,/*,
ATLAS (C/2025 N1),2025-May-30 00:00,2460825.5,12.5,,4.5,,277.84792,-19.79269,19.599,,5.588370181654,-58.3422969,5.58837018165359,-58.3422969,0.0,/*,
ATLAS (C/2025 N1),2025-May-31 00:00,2460826.5,12.5,,4.5,,277.74289,-19.79205,19.574,,5.554671636095,-58.3300983,5.55467163609545,-58.3300983,0.0,/*,
ATLAS (C/2025 N1),2025-Jun-01 00:00,2460827.5,12.5,,4.5,,277.63658,-19.79135,19.549,,5.520980232184,-58.3175741,5.52098023218358,-58.3175741,0.0,/*,
ATLAS (C/2025 N1),2025-Jun-02 00:00,2460828.5,12.5,,4.5,,277.52897,-19.79058,19.524,,5.487296160641,-58.3047152,5.48729616064098,-58.3047152,0.0,/*,
ATLAS (C/2025 N1),2025-Jun-03 00:00,2460829.5,12.5,,4.5,,277.42003,-19.78973,19.499,,5.453619617585,-58.2915121,5.45361961758504,-58.2915121,0.0,/*,
ATLAS (C/2025 N1),2025-Jun-04 00:00,2460830.5,12.5,,4.5,,277.30973,-19.7888,19.473,,5.419950804705,-58.277955,5.41995080470544,-58.277955,0.0,/*,
ATLAS (C/2025 N1),2025-Jun-05 00:00,2460831.5,12.5,,4.5,,277.19806,-19.78779,19.447,,5.386289929449,-58.2640338,5.38628992944901,-58.2640338,0.0,/*,
ATLAS (C/2025 N1),2025-Jun-06 00:00,2460832.5,12.5,,4.5,,277.08499,-19.7867,19.421,,5.352637205212,-58.2497379,5.35263720521213,-58.2497379,0.0,/*,
ATLAS (C/2025 N1),2025-Jun-07 00:00,2460833.5,12.5,,4.5,,276.97048,-19.78552,19.395,,5.318992851541,-58.2350566,5.31899285154093,-58.2350566,0.0,/*,
ATLAS (C/2025 N1),2025-Jun-08 00:00,2460834.5,12.5,,4.5,,276.85452,-19.78425,19.369,,5.285357094339,-58.2199787,5.28535709433927,-58.2199787,0.0,/*,
ATLAS (C/2025 N1),2025-Jun-09 00:00,2460835.5,12.5,,4.5,,276.73708,-19.78289,19.343,,5.251730166085,-58.2044926,5.25173016608487,-58.2044926,0.0,/*,
ATLAS (C/2025 N1),2025-Jun-10 00:00,2460836.5,12.5,,4.5,,276.61813,-19.78144,19.316,,5.218112306054,-58.1885864,5.21811230605374,-58.1885864,0.0,/*,
ATLAS (C/2025 N1),2025-Jun-11 00:00,2460837.5,12.5,,4.5,,276.49763,-19.77989,19.29,,5.184503760554,-58.1722476,5.18450376055362,-58.1722476,0.0,/*,
ATLAS (C/2025 N1),2025-Jun-12 00:00,2460838.5,12.5,,4.5,,276.37557,-19.77823,19.263,,5.150904783166,-58.1554635,5.15090478316629,-58.1554635,0.0,/*,
ATLAS (C/2025 N1),2025-Jun-13 00:00,2460839.5,12.5,,4.5,,276.2519,-19.77647,19.236,,5.117315634999,-58.1382208,5.11731563499901,-58.1382208,0.0,/*,
ATLAS (C/2025 N1),2025-Jun-14 00:00,2460840.5,12.5,,4.5,,276.12661,-19.77459,19.209,,5.083736584946,-58.1205058,5.08373658494639,-58.1205058,0.0,/*,
ATLAS (C/2025 N1),2025-Jun-15 00:00,2460841.5,12.5,,4.5,,275.99965,-19.77261,19.181,,5.050167909962,-58.1023044,5.05016790996225,-58.1023044,0.0,/*,
ATLAS (C/2025 N1),2025-Jun-16 00:00,2460842.5,12.5,,4.5,,275.871,-19.7705,19.154,,5.016609895342,-58.0836017,5.016609895342,-58.0836017,0.0,/*,
ATLAS (C/2025 N1),2025-Jun-17 00:00,2460843.5,12.5,,4.5,,275.74062,-19.76827,19.126,,4.983062835017,-58.0643827,4.98306283501699,-58.0643827,0.0,/*,
ATLAS (C/2025 N1),2025-Jun-18 00:00,2460844.5,12.5,,4.5,,275.60847,-19.76592,19.098,,4.94952703186,-58.0446315,4.94952703186005,-58.0446315,0.0,/*,
ATLAS (C/2025 N1),2025-Jun-19 00:00,2460845.5,12.5,,4.5,,275.47453,-19.76343,19.07,,4.916002798004,-58.0243319,4.9160027980038,-58.0243319,0.0,/*,
ATLAS (C/2025 N1),2025-Jun-20 00:00,2460846.5,12.5,,4.5,,275.33875,-19.76081,19.042,,4.882490455172,-58.003467,4.88249045517205,-58.003467,0.0,/*,
ATLAS (C/2025 N1),2025-Jun-21 00:00,2460847.5,12.5,,4.5,,275.2011,-19.75805,19.014,,4.848990335024,-57.9820192,4.84899033502448,-57.9820192,0.0,/*,
ATLAS (C/2025 N1),2025-Jun-22 00:00,2460848.5,12.5,,4.5,,275.06153,-19.75515,18.985,,4.815502779516,-57.9599705,4.81550277951608,-57.9599705,0.0,/*,
ATLAS (C/2025 N1),2025-Jun-23 00:00,2460849.5,12.5,,4.5,,274.92002,-19.75209,18.956,,4.782028141271,-57.9373019,4.78202814127129,-57.9373019,0.0,/*,
ATLAS (C/2025 N1),2025-Jun-24 00:00,2460850.5,12.5,,4.5,,274.77653,-19.74887,18.927,,4.748566783974,-57.9139942,4.74856678397386,-57.9139942,0.0,/*,
ATLAS (C/2025 N1),2025-Jun-25 00:00,2460851.5,12.5,,4.5,,274.631,-19.7455,18.898,,4.715119082773,-57.8900269,4.71511908277338,-57.8900269,0.0,/*,
ATLAS (C/2025 N1),2025-Jun-26 00:00,2460852.5,12.5,,4.5,,274.48339,-19.74195,18.869,,4.681685424709,-57.8653792,4.68168542470881,-57.8653792,0.0,/*,
ATLAS (C/2025 N1),2025-Jun-27 00:00,2460853.5,12.5,,4.5,,274.33368,-19.73823,18.839,,4.64826620915,-57.8400293,4.64826620915038,-57.8400293,0.0,/*,
ATLAS (C/2025 N1),2025-Jun-28 00:00,2460854.5,12.5,,4.5,,274.1818,-19.73433,18.81,,4.61486184826,-57.8139548,4.61486184826005,-57.8139548,0.0,/*,
ATLAS (C/2025 N1),2025-Jun-29 00:00,2460855.5,12.5,,4.5,,274.02771,-19.73024,18.78,,4.581472767473,-57.7871321,4.58147276747254,-57.7871321,0.0,/*,
ATLAS (C/2025 N1),2025-Jun-30 00:00,2460856.5,12.5,,4.5,,273.87137,-19.72596,18.749,,4.548099405996,-57.759537,4.54809940599638,-57.759537,0.0,/*,
ATLAS (C/2025 N1),2025-Jul-01 00:00,2460857.5,12.5,,4.5,,273.71273,-19.72147,18.719,,4.514742217337,-57.7311443,4.51474221733746,-57.7311443,0.0,/*,
ATLAS (C/2025 N1),2025-Jul-02 00:00,2460858.5,12.5,,4.5,,273.55174,-19.71678,18.688,,4.481401669845,-57.7019278,4.48140166984541,-57.7019278,0.0,/*,
ATLAS (C/2025 N1),2025-Jul-03 00:00,2460859.5,12.5,,4.5,,273.38835,-19.71187,18.658,,4.448078247284,-57.6718603,4.4480782472839,-57.6718603,0.0,/*,
ATLAS (C/2025 N1),2025-Jul-04 00:00,2460860.5,12.5,,4.5,,273.22249,-19.70673,18.627,,4.414772449426,-57.6409136,4.41477244942635,-57.6409136,0.0,/*,
